ASH	æʃ
ASK (REQUEST)	ɑːsk/rɪkwɛst/pətɪʃən
BACK	bæk/rɪə
BAT	bæt
BE ALIVE	lɪv
BIG	bɪg/lɑːdʒ
BLACK	blæk/swɔːt
BLUNT	blʌnt/dʌl
BONE	bəʊn
BREAK (DESTROY OR GET DESTROYED)	breɪk/kræk/ʃætə/smæʃ
BREAST	buːb/bʊzm/tɪt
BREATHE	briːð
BROTHER	brʌðə
BUSH	bʊʃ/ʃrʌb
CARRY	kæri/bɛə
CAVE	keɪv
CHAFF (HUSK)	tʃæf/hʌsk
CHEST	brɛst/tʃɛst
CHEW	tʃuː
CLOTHES	kləʊz/gɑːmənt
COME	kʌm
COOK (SOMETHING)	kʊk
CRUSH	krʌʃ/skwiːz
CRY	kraɪ/wiːp/weɪl
CURE	kjʊə/hiːl
CUT	kʌt/ɪnsaɪz/tʃɒp
DANCE	dæns
DIE	daɪ/səkʌm
DIG	dɪg
DIRT	dɜːt/fɪlθ
DIRTY	sɔːdɪd/grʌbi
DRAW MILK	mɪlk
EAR	ɪə
EARTH (SOIL)	ɜːθ/sɔɪl
EAT	iːt/ɪndʒɛst
EGG	ɛg
EMBERS	ɛmbəz
EMBRACE	ɛmbreɪs/hʌg/kʌdl
EYE	aɪ
FAECES (EXCREMENT)	fiːsiːz/ɛkskrəmənt/ʃɪt/pu/tɜːd
FAR	fɑː/dɪstənt/rɪməʊt
FART	fɑːt/puːt
FAT (ORGANIC SUBSTANCE)	fæt/lɑːd/griːs
FIND	faɪnd/ɪnkaʊntə
FOAM	fəʊm/frɒθ/spjum
FOOD	fuːd/fɒdə
FOOT	fʊt
FOREHEAD	fɑrɪd
FULL	fʊl/pækt
FURROW	fʌrəʊ/klɛft/rɪŋkl/krɪŋkl
GIVE	gɪv
GO	gəʊ
GRANDCHILD	græntʃaɪld
GRIND	graɪnd/greɪt/ʃrɛd
GROW	grəʊ
HAIR	hɛə
HAND	hænd
HAVE SEX	fʌk/bæŋ/kɒpjəleɪt
HEAD	hɛd
HEAR	hɪə
HERD (SOMETHING)	hɜːd
HOLE	həʊl/slɪt/rɪp
HOT	hɒt
HOUSE	haʊs
HUSBAND	hʌzbənd
I	aɪ
INTESTINES	ɪntɛstɪn/baʊl/gʌt
LAUGH	lɑːf/kækl/gəfɔː/snɪkə
LEFT	lɛft
LICK	lɪk
LIGHT (RADIATION)	laɪt
LOOSE	luːs/friː
LOUSE	laʊs
MAIZE	meɪz/kɔːn
MALE	meɪl
MANY	mɛni/əlɒt
MEAT	miːt/flɛʃ
MUD	mʌd/maɪə/slʌdʒ/uːz
NARROW	nærəʊ
NAVEL	neɪvəl
NEST	nɛst/dɛn
NEW	njuː
NIGHT	naɪt
NOSE	nəʊz/snaʊt
ONE	wʌn
PERSON	pɜːsn/mæn
PIN	pɪn/tæk/pɛg/neɪl
PINCH	pɪntʃ/nɪp
PLANT (VEGETATION)	plɑːnt
POTATO	pəteɪtəʊ/spʌd
PREGNANT	prɛgnənt
PUT	pʊt/pleɪs
RAIN (RAINING)	reɪn/drɪzl
RED	rɛd/skɑːlɪt/krɪmzən
RIPE	raɪp/mətjʊə
ROUGH	rʌf/bʌmpi/rʌgɪd
SAY	seɪ/ʌtə
SEE	siː/vjuː
SEED	siːd
SEND	sɛnd/imɪt
SEW	səʊ/stɪtʃ
SHADE	ʃeɪd/ʃædəʊ
SHOUT	ʃaʊt/jɛl/skriːm/hɒlə
SISTER	sɪstə
SLEEP	sliːp/nap/dəʊz/snuːz
SOW SEEDS	səʊ/skætə
SPEAK	spiːk/tɔːk
SPICY	spaɪsi/piːkənt/tæŋi
SPIN	spɪn/rəʊteɪt/rɪvɒlv
SPIT	spɪt/gɒb
SPLIT	splɪt/kliːv
SPREAD OUT	sprɛd/dɪfjuːz
STEP (VERB)	stɛp/peɪs
STONE	stəʊn/rɒk
STRENGTH	strɛŋkθ/paʊə
SWALLOW	swɒləʊ/dɪvaʊə/gʌlp
TELL	tɛl/nəreɪt/riːkaʊnt
TESTICLES	tɛstɪkəl/bɔːl/bɒlək
THAT	ðæt
THICK	θɪk
THORN	θɔːn/prɪkl/spaɪk/bɑːb
THREAD	θrɛd
THRESH	θrɛʃ/θræʃ
THROW	θrəʊ/hɜːl/kɑːst/lɒb/tɒs
TIE	taɪ/fɑːsn/lɪŋk/baɪnd
TREE	triː
TUMBLE (FALL DOWN)	tʌmbl/fɔːl
TWIST	twɪst/mæŋgəl/wɔːp
TWO	tuː
UNTIE	ʌntaɪ/luːsn
UP	ʌp
VAGINA	vədʒaɪnə/pʊsɪ/kʌnt/fæni
WALK	wɔːk
WASH	wɒʃ
WATER	wɔːtə
WEAVE	wiːv
WET	wɛt
WHERE	wɛə
WHISTLE	wɪsl
WHITE	waɪt
WOOD	wʊd/tɪmbə/lʌmbə
WOOL	wʊl
WORM	wɜːm/mægət/grʌb
YES	jɛs/aɪ/jɛə/jʌp
YOU	ju
