ACCOMPANY	irpa
APRON	hirp'i
ARMADILLO	kʰirkinču
ASH	qʰiʎa
ASK (REQUEST)	mayi
AUNT	ipa
BACK	sama
BAT	čiñwi
BE ALIVE	haka
BEARD	ñukʰu
BECOME SICK	usu
BEE	tʂana
BEETLE	tʂ'iqi
BEFORE	nikʰa
BELOW OR UNDER	manqʰa
BIG	atʂ'a
BLACK	tʂ'iyara
BLOW (WITH MOUTH)	pʰusa
BLUNT	muru/turu
BONE	tʂ'aka
BRAID	k'ana
BREAK (DESTROY OR GET DESTROYED)	k'apa/sitʂ'i
BREAST	pʰaqi
BREATHE	hakʰu
BROTHER	alu/quntʂa
BROTHER-IN-LAW	lari
BURY	ima
BUSH	šip'i
BUTTOCKS	tʂ'ina
BUY	ala
CARRY	asa/aya/iču/iwa
CARRY IN HAND	hač'i/ira
CATCH	katu
CAVE	aqʰi
CHAFF (HUSK)	suq'u
CHEST	tʂ'aka
CHEW	q'awi/t'uru
CLOTH	iši
CLOTHES	urkʰu
CLOUD	urpʰu
COME	huta
COOK (SOMETHING)	pʰaya/qʰati
CRAWL	hitʰi
CROWN (OF HEAD)	sunaqi
CRUSH	ʎamq'i
CRY	hatʂa
CURE	inki
CUT	kʰari
DANCE	hayra
DARK	č'ama
DAUGHTER	pʰutʂa
DAY (24 HOURS)	uru
DIE	hiwa
DIG	atʂ'i/hunu
DIRT	lanq'a
DIRTY	q'añu
DRAW MILK	tʂ'iwra
DRIP (FALL IN GLOBULES)	tʂ'aqa
DWELL (LIVE, RESIDE)	uta
EAR	hinču
EARTH (SOIL)	uraqi
EAT	manq'a
EGG	k'awna
EMBERS	k'ara
EMBRACE	qʰuma
EYE	nayra
FAECES (EXCREMENT)	hama
FAR	haya
FART	sira
FAT (ORGANIC SUBSTANCE)	lik'i
FIGHT	hayča
FIND	akʰi
FLOW	pʰuʎu
FOAM	hupʰuqu
FOOD	ququ
FOOT	kayu
FOREHEAD	para
FOUR	puši
FULL	tʂ'iti
FURROW	qurpa
GIVE	liwa
GO	hina/maya
GRANDCHILD	aʎči
GRAZE	awati
GRIND	ñiqi/t'iki
GRINDSTONE	parana
GROW	hila
GUARD	muši
HAIR	ñak'utʂa
HAND	ampara
HARVEST	ʎama
HAVE SEX	ani/k'imi
HE OR SHE	hupa
HEAD	č'unču/lamp'a
HEAR	iša
HERD (SOMETHING)	hikʰa/ana
HERE	aka
HOLE	p'iya
HOT	huntʂ'u
HOUSE	uta
HUSBAND	haynu
I	naya
INTESTINES	q'urawa
KNEAD	pʰitʂu
LAUGH	laru
LEAVE	hayV
LEFT	tʂ'iqa
LICK	haʎpa
LID (COVER, CAP)	qʰapa
LIGHT (RADIATION)	qʰana
LINE	šiq'i
LOOSE	hankʰa
LOUSE	lap'a
MAIZE	paru
MALE	kʰarma
MANY	atʂi/ʎump'i
MEAT	hanči
MOVE AWAY	arpʰa
MUD	huqʰu
MUSH	utʂa
NARROW	k'uʎku
NAVEL	kururu
NEAR	hak'a
NEST	tʂapa
NEW	mačaqa/q'atʂa
NIGHT	aruma
NOSE	nasa/qʰinsa
NOT	hani
OLD	ača
OLD WOMAN	apa
ONE	maya
OUTSIDE	anqa
PATH	tʂaki
PERSON	haqi
PIN	t'impu/t'iri
PINCH	k'iči/pʰitu
PLANT (VEGETATION)	ačuma
PLANT STEM	ali
POTATO	šuta/uʎa
PREGNANT	hapi
PULL OUT	k'ili/sikʰa
PUT	inuqa
RAIN (RAINING)	haʎu
RED	čupika
RIB	harapʰi
RIGHT	kupi
RIPE	pʰuqa
ROAST (SOMETHING)	pʰurka
ROUGH	kʰanka
RUN	hala
SAME	patʂa
SAY	saya
SEE	uʎa
SEED	atʰa
SEND	kʰita
SERVANT	iñatʂa
SEW	tʂ'uku/qumpi
SHADE	č'iwu
SHARP	ari
SHOUT	q'asa
SHOVEL	lanqʰa
SIN	q'atʂa
SISTER	činki
SIZE (OF OBJECT)	huč'a
SLEEP	iki
SON-IN-LAW	tuʎqa
SOW SEEDS	sa
SPEAK	aru
SPICY	haru
SPIN	pʰawi/qapu
SPIT	tʰusa
SPLIT	tʂ'aqa/k'aka
SPREAD OUT	iqa
STEP (VERB)	č'iʎa/čirqi
STONE	qala
STRENGTH	tʂ'ama
STRIKE OR BEAT	sak'a
STUPID	luqʰi
SWALLOW	uqu
SWIM	iña
TELL	atʂima/iwqa
TESTICLES	maqʰura
THAT	kʰuwa/uka
THEN	haʎa
THICK	pʰatʂu
THINK	ama
THORN	pači/qipu
THREAD	tʂ'anka
THRESH	hipi
THROW	haqu
TIE	tʂ'uqa/čika/čilu
TREE	čačaku
TRUE	čiqa
TUMBLE (FALL DOWN)	tʂ'apa/lankʰa
TWIST	miʎk'u/pʰala
TWO	paya
UNTIE	hara/pʰasa
UP	amputa/araqa
VAGINA	činqi
WALK	tʰunku
WASH	hari
WATER	uma
WE (INCLUSIVE)	hiwasa
WEAVE	p'ita/sayu
WET	ʎač'a
WHERE	kawki
WHISTLE	kʰuyu
WHITE	hanq'u
WOOD	lawa
WOOL	tʂ'isa
WORM	laq'u
YES	hiša
YOU	huma
